iter	Logloss
0	0.6598939544
1	0.6295862775
2	0.6013402063
3	0.5761865013
4	0.5488307843
5	0.5213554206
6	0.5007843192
7	0.4819932727
8	0.4703457366
9	0.4530257264
10	0.4390358755
11	0.4292465836
12	0.4170354559
13	0.4051743036
14	0.3979614424
15	0.3896007441
16	0.3796652503
17	0.3713968258
18	0.3667665583
19	0.3623373608
20	0.3543776352
21	0.3491293753
22	0.3427851271
23	0.3380828158
24	0.3335082472
25	0.3294966776
26	0.3253100189
27	0.3200960732
28	0.3157120332
29	0.3128046817
30	0.3083858522
31	0.3054263076
32	0.301042567
33	0.2980084727
34	0.2949955754
35	0.2910208614
36	0.2870254116
37	0.2838161141
38	0.2816390324
39	0.2785163263
40	0.2758821119
41	0.2733702515
42	0.2705622395
43	0.2688066449
44	0.2669478891
45	0.264383887
46	0.2614237971
47	0.2597020693
48	0.2581480387
49	0.2560813245
50	0.2535868235
51	0.2522311494
52	0.2501582127
53	0.2470223354
54	0.2450845514
55	0.2431446612
56	0.2405125793
57	0.2393049891
58	0.2366755488
59	0.2346574132
60	0.2330158797
61	0.2309679542
62	0.2289313447
63	0.2274576134
64	0.2258304654
65	0.2244437391
66	0.2229601526
67	0.2209327414
68	0.2195665518
69	0.2172494806
70	0.2150335736
71	0.2137956709
72	0.2123865577
73	0.2108097538
74	0.2096911084
75	0.2086866695
76	0.2081389021
77	0.2070685599
78	0.2058145579
79	0.2043275453
80	0.2032782461
81	0.2014552163
82	0.1998653128
83	0.1983613439
84	0.1973583868
85	0.1958662139
86	0.1949694725
87	0.1934537898
88	0.1927469726
89	0.1918735813
90	0.1900442581
91	0.1891092569
92	0.1877553527
93	0.1862616588
94	0.1853074808
95	0.1843793704
96	0.183205485
97	0.1820940991
98	0.1802510238
99	0.1784525881
100	0.177482789
101	0.1770229156
102	0.1766567646
103	0.176047659
104	0.1752974859
105	0.1740516906
106	0.1727860174
107	0.1708438685
108	0.1694986723
109	0.1681812234
110	0.1671033666
111	0.1661259257
112	0.1651325376
113	0.1640752811
114	0.1631789007
115	0.1622244332
116	0.1612882329
117	0.1607146792
118	0.1596391542
119	0.1588388043
120	0.1582914695
121	0.1569868361
122	0.1564767781
123	0.1557541342
124	0.154428263
125	0.15347607
126	0.1522872315
127	0.1516328095
128	0.1506151519
129	0.1497960884
130	0.1493978616
131	0.1485502944
132	0.1479858367
133	0.147196667
134	0.1464413444
135	0.1456831414
136	0.1445362162
137	0.1434955607
138	0.1428282723
139	0.1420142592
140	0.1413537967
141	0.1402880959
142	0.1399501672
143	0.1390807397
144	0.138131134
145	0.1374393475
146	0.1366115711
147	0.1358363869
148	0.1350607168
149	0.1343108586
150	0.1338033423
151	0.1331093606
152	0.1319736929
153	0.1316451803
154	0.1307631357
155	0.1301043834
156	0.1292706026
157	0.1285931215
158	0.1276972652
159	0.1274928579
160	0.1265826635
161	0.125165015
162	0.1243540974
163	0.123393792
164	0.1231117113
165	0.1220823964
166	0.1214162134
167	0.1204954679
168	0.1197064883
169	0.1193981886
170	0.1185777165
171	0.1177519918
172	0.1170878825
173	0.1162157957
174	0.1156547036
175	0.1146993292
176	0.1137100047
177	0.1129878363
178	0.1119569051
179	0.1118458528
180	0.111586902
181	0.1109445147
182	0.1101177846
183	0.1093345844
184	0.1089091593
185	0.10825939
186	0.1081707061
187	0.1077296378
188	0.1072878002
189	0.1062810436
190	0.1060030216
191	0.1053749923
192	0.104903447
193	0.1044859213
194	0.1038525843
195	0.103684259
196	0.1031362522
197	0.1027506119
198	0.1026446585
199	0.1018080968
