iter	Passed	Remaining
0	1	283
1	2	261
2	3	241
3	4	232
4	5	227
5	6	219
6	7	213
7	9	236
8	11	247
9	12	239
10	13	233
11	14	226
12	15	222
13	16	218
14	17	218
15	18	214
16	19	211
17	20	209
18	21	208
19	22	201
20	23	200
21	24	198
22	25	196
23	26	195
24	27	195
25	28	193
26	29	192
27	31	194
28	32	192
29	33	189
30	34	188
31	35	186
32	36	185
33	37	184
34	38	183
35	39	181
36	40	179
37	41	178
38	42	176
39	43	175
40	44	174
41	45	172
42	46	171
43	48	170
44	49	169
45	50	169
46	51	168
47	52	166
48	53	165
49	54	164
50	56	163
51	57	162
52	58	161
53	59	160
54	60	159
55	61	158
56	62	157
57	63	156
58	64	155
59	67	156
60	68	155
61	69	153
62	70	153
63	72	153
64	73	152
65	74	151
66	75	149
67	76	148
68	77	147
69	78	145
70	79	144
71	80	142
72	81	141
73	82	140
74	83	139
75	84	138
76	85	137
77	87	136
78	88	135
79	89	133
80	90	132
81	91	130
82	92	129
83	93	128
84	94	127
85	95	125
86	96	124
87	97	123
88	98	122
89	99	121
90	100	120
91	102	120
92	103	118
93	104	117
94	105	116
95	106	115
96	107	114
97	109	114
98	110	112
99	111	111
100	112	110
101	113	109
102	114	108
103	115	106
104	117	106
105	118	104
106	119	103
107	120	102
108	121	101
109	122	100
110	123	99
111	125	98
112	126	97
113	127	96
114	128	95
115	129	93
116	130	92
117	131	91
118	132	90
119	133	89
120	134	87
121	136	87
122	137	86
123	138	85
124	140	84
125	141	83
126	142	81
127	143	80
128	144	79
129	145	78
130	146	76
131	147	75
132	148	74
133	149	73
134	149	72
135	150	71
136	152	70
137	153	68
138	155	68
139	156	66
140	157	65
141	158	64
142	158	63
143	160	62
144	161	61
145	166	61
146	167	60
147	168	59
148	169	58
149	170	56
150	171	55
151	172	54
152	173	53
153	174	52
154	175	50
155	176	49
156	177	48
157	178	47
158	179	46
159	180	45
160	181	44
161	182	42
162	183	41
163	184	40
164	186	39
165	187	38
166	189	37
167	190	36
168	190	35
169	192	33
170	193	32
171	194	31
172	195	30
173	196	29
174	197	28
175	198	27
176	199	25
177	200	24
178	201	23
179	202	22
180	204	21
181	205	20
182	206	19
183	207	18
184	208	16
185	209	15
186	211	14
187	213	13
188	214	12
189	215	11
190	216	10
191	217	9
192	218	7
193	219	6
194	220	5
195	221	4
196	222	3
197	223	2
198	224	1
199	225	0
